datetime,accuracy,precision,recall,specificity,f1,auroc,epoch,optimizer,scheduler,input_dim,num_classes,learning_rate,batch_size,num_epochs,fcl_dropouts,patience,batch_norm,cv_layers,fc_layers,avg_loss,f1_score,cm_metric,cv_kernels,cv_strides,cv_paddings,pool_kernels,pool_strides,pool_paddings,test_size,grayscale,img_mean,img_std,horizontal_flip,resize,gap_outputs,only_bmode,bmode,class_weights,model_name,max_epochs,input_dimensions,accuracy_macro,accuracy_weighted,accuracy_per_class
2025-05-20 19:09:44.199087,0.7122641801834106,,,,,,0,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.8183829312644534e-06
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7791f37e5160>,"(330, 502, 1)",3,2.818382931264453e-06,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",1.0298967496404108,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:09:44.199087,0.7075471878051758,,,,,,1,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.8183829312644534e-06
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7791f37e5160>,"(330, 502, 1)",3,2.818382931264453e-06,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.9409549483713114,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:09:44.199087,0.7075471878051758,,,,,,2,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.8183829312644534e-06
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7791f37e5160>,"(330, 502, 1)",3,2.818382931264453e-06,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.8854368115371128,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:09:44.199087,0.7075471878051758,,,,,,3,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.8183829312644534e-06
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7791f37e5160>,"(330, 502, 1)",3,2.818382931264453e-06,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.8548930253622666,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:09:44.199087,0.7075471878051758,,,,,,4,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.8183829312644534e-06
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7791f37e5160>,"(330, 502, 1)",3,2.818382931264453e-06,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.8425109049059311,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:09:44.199087,0.7075471878051758,,,,,,5,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.8183829312644534e-06
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7791f37e5160>,"(330, 502, 1)",3,2.818382931264453e-06,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.8310956055263303,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:09:44.199087,0.7075471878051758,,,,,,6,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.8183829312644534e-06
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7791f37e5160>,"(330, 502, 1)",3,2.818382931264453e-06,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.8157876302611153,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:37:07.645677,0.7075471878051758,,,,,,0,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.9512092266663854e-05
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7967b1f218e0>,"(330, 502, 1)",3,2.951209226666385e-05,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.715289647849101,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:37:07.645677,0.7075471878051758,,,,,,1,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.9512092266663854e-05
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7967b1f218e0>,"(330, 502, 1)",3,2.951209226666385e-05,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.700399879014717,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
2025-05-20 19:37:07.645677,0.7075471878051758,,,,,,2,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 2.9512092266663854e-05
    maximize: False
    weight_decay: 0
)",<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x7967b1f218e0>,"(330, 502, 1)",3,2.951209226666385e-05,16,100.0,[0.5],21,True,"[8, 16, 32, 64, 128]","[128, 64, 32, 16, 8]",0.6998378409529632,,,[3],[1],[0],[2],[2],[0],0.2,True,[0.084],[0.1069],0.5,"(330, 502)",(),,,,,,,,,
